Process,Model Name,F1 Scores,Range of F1 Scores,Std Deviation of F1 Scores
B-NBC,Binomial Naive Bayes Classifier,"[0.67, 0.67, 0.74, 0.74, 0.75]",0.67-0.75,0.04037325847637267
L R,Logistic Regression,"[0.71, 0.75, 0.77, 0.77, 0.81]",0.71-0.81,0.03633180424916993
DT,Decission Tree,"[0.65, 0.69, 0.69, 0.7, 0.72]",0.65-0.72,0.025495097567963903
R F,Random Forest,"[0.69, 0.72, 0.73, 0.75, 0.79]",0.69-0.79,0.037148351242013454
XG B,XG Boost,"[0.69, 0.71, 0.72, 0.76, 0.78]",0.69-0.78,0.03701351104664353
SGD,Stochastic Gradient Descent,"[0.57, 0.64, 0.7, 0.74, 0.74]",0.57-0.74,0.0729383301152419
G P,Gausian Process,"[0.7, 0.73, 0.74, 0.75, 0.77]",0.7-0.77,0.02588435821108959
KNN C,K Nearst Neighbour,"[0.69, 0.71, 0.72, 0.74, 0.75]",0.69-0.75,0.023874672772626667
LDA,Linear Discriminant Analysis,"[0.7, 0.77, 0.77, 0.77, 0.8]",0.7-0.8,0.03701351104664353
SVM,Support Vector Machine,"[0.69, 0.73, 0.74, 0.78, 0.78]",0.69-0.78,0.037815340802378104
LGBMC,LGBMClassifier,"[0.69, 0.72, 0.73, 0.74, 0.79]",0.69-0.79,0.03646916505762097
